,QL,BM25,SDM
301,0.0539,0.0000,0.0564
302,0.5835,0.1531,0.5866
303,0.2186,0.1263,0.2703
304,0.1094,0.0109,0.1084
305,0.0047,0.0000,0.0050
306,0.1180,0.0005,0.0868
307,0.2252,0.0000,0.1892
308,0.4386,0.0819,0.5151
309,0.0005,0.0000,0.0000
310,0.1433,0.0003,0.1764
311,0.5862,0.0004,0.6657
312,0.1909,0.1909,0.1909
313,0.7932,0.0627,0.8147
314,0.0002,0.0000,0.0002
315,0.0132,0.0000,0.0187
316,0.5698,0.6421,0.5698
317,0.1742,0.2440,0.1868
318,0.0151,0.0000,0.0112
319,0.0444,0.0000,0.0577
320,0.0505,0.0091,0.0297
321,0.2957,0.0200,0.2321
322,0.0046,0.0000,0.0067
323,0.2014,0.0018,0.1673
324,0.5450,0.0731,0.5078
325,0.0580,0.0990,0.0517
326,0.6349,0.0124,0.5761
327,0.0711,0.0000,0.0756
328,0.6837,0.0131,0.7402
329,0.2025,0.0119,0.1864
330,0.1270,0.0223,0.1490
331,0.1798,0.0032,0.2887
332,0.0949,0.0001,0.1251
333,0.3292,0.3488,0.3262
334,0.2925,0.0005,0.2777
335,0.2943,0.2384,0.3462
336,0.0975,0.0000,0.1034
337,0.2670,0.0147,0.2709
338,0.4801,0.0000,0.3788
339,0.4293,0.0732,0.3873
340,0.1638,0.0000,0.2389
341,0.2893,0.0043,0.2233
342,0.0779,0.0000,0.0703
343,0.0133,0.0001,0.0219
344,0.0589,0.0000,0.1177
345,0.1075,0.0000,0.0883
346,0.0072,0.0022,0.0318
347,0.0370,0.0150,0.0397
348,0.8100,0.8100,0.8100
349,0.1034,0.0829,0.1034
350,0.0651,0.0000,0.0556
351,0.3947,0.2133,0.1289
352,0.0474,0.0002,0.0458
353,0.3045,0.2905,0.2996
354,0.0501,0.0219,0.0535
355,0.1427,0.0001,0.1663
356,0.0116,0.0000,0.0117
357,0.4044,0.0095,0.3873
358,0.0893,0.0029,0.1845
359,0.0292,0.0014,0.0223
360,0.5663,0.0109,0.5618
361,0.4303,0.0023,0.3991
362,0.1584,0.0000,0.2284
363,0.0953,0.0000,0.0617
364,0.5438,0.5294,0.5438
365,0.7769,0.0025,0.9584
366,0.5291,0.0000,0.5574
367,0.0647,0.0645,0.0647
368,0.5142,0.0000,0.4982
369,0.2737,0.1615,0.2745
370,0.1213,0.0235,0.1278
371,0.0020,0.0014,0.0025
372,0.0776,0.0000,0.0559
373,0.3702,0.3467,0.3482
374,0.2985,0.2365,0.2293
375,0.2298,0.0867,0.2435
376,0.0110,0.0000,0.1313
377,0.3216,0.4056,0.2339
378,0.0078,0.0006,0.0070
379,0.0222,0.0703,0.0222
380,0.1609,0.4072,0.1616
381,0.0529,0.0001,0.0168
382,0.4282,0.1602,0.3402
383,0.0194,0.0006,0.0151
384,0.2014,0.0001,0.2267
385,0.2567,0.0265,0.2674
386,0.0210,0.0006,0.0164
387,0.1482,0.0213,0.1470
